Designator,Mid X,Mid Y,Layer,Rotation
C116,77.0536mm,64.6536mm,Bottom,180.0
C115,75.1894mm,64.6673mm,Bottom,0.0
C124,79.375mm,55.9939mm,Bottom,0.0
R121,89.0504mm,72.502mm,Bottom,180.0
R106,82.875mm,70.65mm,Bottom,0.0
J101,88.225mm,71.375mm,Top,180.0
C108,75.325mm,67.725mm,Bottom,0.0
R105,93.2741mm,55.1061mm,Top,0.0
R104,93.0741mm,53.9161mm,Top,0.0
R103,93.2741mm,52.8061mm,Top,0.0
R125,93.82499999999999mm,41.245mm,Top,270.0
C104,67.675mm,72.32499999999999mm,Bottom,90.0
C137,75.0202mm,52.0335mm,Top,0.0
D101,64.4545mm,66.5695mm,Bottom,180.0
C101,91.4166mm,72.502mm,Bottom,180.0
R102,63.2525mm,64.9995mm,Bottom,180.0
R101,73.82509999999999mm,62.125mm,Bottom,270.0
D102,93.125mm,71.125mm,Top,90.0
Y102,78.7688mm,61.11149999999999mm,Bottom,90.0
R122,93.125mm,50.925mm,Bottom,0.0
R123,90.8348mm,48.90089999999999mm,Bottom,270.0
R127,78.925mm,66.82499999999999mm,Bottom,180.0
R128,82.6028mm,53.068799999999996mm,Bottom,180.0
D106,71.2781mm,65.6899mm,Top,180.0
D105,71.2781mm,63.8899mm,Top,180.0
D107,77.42999999999999mm,69.4145mm,Bottom,180.0
D104,71.2781mm,62.0899mm,Top,180.0
D103,71.2781mm,60.289899999999996mm,Top,180.0
C140,78.925mm,65.725mm,Bottom,0.0
C132,76.49249999999999mm,62.1001mm,Bottom,90.0
C136,76.49249999999999mm,60.0249mm,Bottom,270.0
C127,87.125mm,53.068799999999996mm,Bottom,0.0
C138,62.658899999999996mm,69.0972mm,Bottom,90.0
C130,77.1425mm,54.9785mm,Bottom,0.0
C131,87.125mm,51.925mm,Bottom,0.0
C122,77.1425mm,57.1337mm,Bottom,180.0
C114,92.9933mm,66.925mm,Top,0.0
C103,66.625mm,72.32499999999999mm,Bottom,90.0
C113,92.9933mm,68.125mm,Top,180.0
C102,66.825mm,64.9995mm,Bottom,180.0
U105,82.5344mm,60.974999999999994mm,Top,270.0
